subscription_id,customer_id,customer_tenure_months,amount_inr,failure_reason,days_since_failure,past_successful_payments,retry_attempts_so_far,customer_segment
sub_0001,cust_6925,4,199,bank_technical_decline,1,4,3,at_risk
sub_0002,cust_4814,10,1999,card_expired,1,14,1,standard
sub_0003,cust_6977,22,999,card_blocked_by_bank,4,4,1,standard
sub_0004,cust_3803,25,499,insufficient_funds,1,29,0,high_value
sub_0005,cust_4598,10,1499,insufficient_funds,1,1,2,at_risk
sub_0006,cust_7572,1,299,insufficient_funds,0,2,2,at_risk
sub_0007,cust_6155,20,1999,card_blocked_by_bank,4,9,0,standard
sub_0008,cust_5040,4,1499,fraud_flagged,3,1,0,at_risk
sub_0009,cust_4593,23,499,card_expired,5,7,0,standard
sub_0010,cust_3621,17,1499,insufficient_funds,2,4,0,standard
sub_0011,cust_8668,1,1999,insufficient_funds,0,2,0,at_risk
sub_0012,cust_9797,13,1499,bank_technical_decline,5,10,0,standard
sub_0013,cust_8123,18,999,card_expired,5,32,2,standard
sub_0014,cust_9317,18,2999,bank_technical_decline,8,19,2,standard
sub_0015,cust_9317,13,1499,card_expired,3,24,3,standard
sub_0016,cust_1009,14,999,card_blocked_by_bank,2,3,3,standard
sub_0017,cust_6038,18,999,insufficient_funds,0,31,2,standard
sub_0018,cust_9727,25,1499,card_expired,0,30,3,high_value
sub_0019,cust_3705,16,499,card_blocked_by_bank,0,12,1,standard
sub_0020,cust_7537,38,4999,insufficient_funds,4,28,2,high_value
sub_0021,cust_8397,23,299,card_expired,3,14,1,high_value
sub_0022,cust_1117,22,199,insufficient_funds,3,14,0,high_value
sub_0023,cust_1514,4,299,fraud_flagged,4,0,0,at_risk
sub_0024,cust_8749,15,1499,card_expired,0,3,1,standard
sub_0025,cust_6804,8,999,bank_technical_decline,4,3,0,standard
sub_0026,cust_6559,23,1499,card_expired,0,12,0,standard
sub_0027,cust_8350,22,499,insufficient_funds,8,4,0,standard
sub_0028,cust_2604,22,199,bank_technical_decline,14,0,3,at_risk
sub_0029,cust_4872,23,299,card_expired,2,3,0,standard
sub_0030,cust_1035,27,4999,card_blocked_by_bank,1,29,0,high_value
sub_0031,cust_8973,22,4999,insufficient_funds,3,34,0,high_value
sub_0032,cust_6138,24,199,card_expired,3,32,3,high_value
sub_0033,cust_9701,31,199,bank_technical_decline,0,4,1,standard
sub_0034,cust_4853,39,499,card_expired,11,36,0,high_value
sub_0035,cust_1651,10,999,card_blocked_by_bank,2,8,0,standard
sub_0036,cust_6147,10,299,insufficient_funds,2,20,0,standard
sub_0037,cust_6180,39,199,card_expired,3,36,3,high_value
sub_0038,cust_2200,7,499,bank_technical_decline,2,2,3,at_risk
sub_0039,cust_2127,24,299,card_expired,7,19,1,high_value
sub_0040,cust_9666,11,199,card_blocked_by_bank,6,9,3,standard
sub_0041,cust_2697,22,199,insufficient_funds,0,35,0,high_value
sub_0042,cust_5616,15,999,bank_technical_decline,5,6,1,standard
sub_0043,cust_5325,3,1999,fraud_flagged,0,0,0,at_risk
sub_0044,cust_1058,17,299,insufficient_funds,0,16,0,standard
sub_0045,cust_8239,7,199,card_expired,0,14,1,standard
sub_0046,cust_3442,14,499,bank_technical_decline,7,18,1,standard
sub_0047,cust_8041,23,1999,insufficient_funds,6,2,2,at_risk
sub_0048,cust_4441,24,999,card_expired,4,22,2,high_value
sub_0049,cust_7658,34,2999,card_blocked_by_bank,1,10,3,standard
sub_0050,cust_3900,15,1999,bank_technical_decline,0,23,3,standard
sub_0051,cust_7745,24,1499,insufficient_funds,1,6,0,standard
sub_0052,cust_1634,1,1999,card_blocked_by_bank,1,1,0,at_risk
sub_0053,cust_4728,20,499,insufficient_funds,1,4,3,standard
sub_0054,cust_5573,32,499,insufficient_funds,2,34,0,high_value
sub_0055,cust_1452,37,299,insufficient_funds,13,16,0,high_value
sub_0056,cust_8119,35,299,insufficient_funds,6,27,1,high_value
sub_0057,cust_9379,34,299,bank_technical_decline,0,27,0,high_value
sub_0058,cust_9821,32,999,insufficient_funds,11,12,0,standard
sub_0059,cust_2146,39,999,insufficient_funds,4,7,1,standard
sub_0060,cust_5920,10,499,bank_technical_decline,4,10,0,standard
