subscription_id,customer_id,customer_segment,failure_reason,diagnosis,chosen_action,reasoning,allowed_by_rules,rule_override_reason,final_action,simulated_outcome,amount_inr,recovered_amount_inr,discount_cost_inr,timestamp
sub_0001,cust_6925,at_risk,bank_technical_decline,[API ERROR] Messages.create() got an unexpected keyword argument 'temperature',smart_retry,Fallback to 'smart_retry' due to API error.,no,Max retries exhausted (3/2). Auto-escalating to human review.,escalate_to_human,pending_human_review,199.0,0.0,0.0,2026-08-23T12:55:27.134784
sub_0002,cust_4814,standard,card_expired,[API ERROR] Messages.create() got an unexpected keyword argument 'temperature',send_update_payment_link,Fallback to 'send_update_payment_link' due to API error.,yes,,send_update_payment_link,recovered,1999.0,1999.0,0.0,2026-08-23T12:55:27.134784
sub_0003,cust_6977,standard,card_blocked_by_bank,[API ERROR] Messages.create() got an unexpected keyword argument 'temperature',send_update_payment_link,Fallback to 'send_update_payment_link' due to API error.,yes,,send_update_payment_link,recovered,999.0,999.0,0.0,2026-08-23T12:55:27.134784
sub_0004,cust_3803,high_value,insufficient_funds,[API ERROR] Messages.create() got an unexpected keyword argument 'temperature',smart_retry,Fallback to 'smart_retry' due to API error.,yes,,smart_retry,failed,499.0,0.0,0.0,2026-08-23T12:55:27.134784
sub_0005,cust_4598,at_risk,insufficient_funds,[API ERROR] Messages.create() got an unexpected keyword argument 'temperature',smart_retry,Fallback to 'smart_retry' due to API error.,yes,,smart_retry,recovered,1499.0,1499.0,0.0,2026-08-23T12:55:27.134784
sub_0006,cust_7572,at_risk,insufficient_funds,[API ERROR] Messages.create() got an unexpected keyword argument 'temperature',smart_retry,Fallback to 'smart_retry' due to API error.,yes,,smart_retry,failed,299.0,0.0,0.0,2026-08-23T12:55:27.134784
sub_0007,cust_6155,standard,card_blocked_by_bank,[API ERROR] Messages.create() got an unexpected keyword argument 'temperature',send_update_payment_link,Fallback to 'send_update_payment_link' due to API error.,yes,,send_update_payment_link,recovered,1999.0,1999.0,0.0,2026-08-23T12:55:27.134784
sub_0008,cust_5040,at_risk,fraud_flagged,Payment flagged for potential fraud by the payment gateway.,escalate_to_human,Fraud-flagged transactions must never be retried or contacted. Escalating to human fraud review team per compliance policy.,yes,,escalate_to_human,pending_human_review,1499.0,0.0,0.0,2026-08-23T12:55:27.134784
sub_0009,cust_4593,standard,card_expired,[API ERROR] Messages.create() got an unexpected keyword argument 'temperature',send_update_payment_link,Fallback to 'send_update_payment_link' due to API error.,yes,,send_update_payment_link,failed,499.0,0.0,0.0,2026-08-23T12:55:27.134784
sub_0010,cust_3621,standard,insufficient_funds,[API ERROR] Messages.create() got an unexpected keyword argument 'temperature',smart_retry,Fallback to 'smart_retry' due to API error.,yes,,smart_retry,recovered,1499.0,1499.0,0.0,2026-08-23T12:55:27.134784
